Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,PrimaryEnergyInputToPower.MWy,PowerOutput.MWy,Capacity.MW,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW,LCOE.USD_kWh,EffectiveCapacity.MW
ben.ore,BEN,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
ben.bio,BEN,bio,2018,0,0,0,0,3,0.771818182,0.35,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,2.315454546
bgd.coa,BGD,coa,2018,393,1500,521.4104328,171.2328767,524,0.162808938,0.163617523,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,85.31188351
bgd.nga,BGD,nga,2018,13282,59437,17621.81519,6785.045662,10877,0.72216825,0.445755671,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,7855.024055
bgd.oil,BGD,oil,2018,1868,16293,2478.357986,1859.931507,6540,0.203661306,0.537430408,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,1331.944941
bgd.nuc,BGD,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
bgd.wnd,BGD,wnd,2018,1,6,1.326744104,0.684931507,3,0.183980213,0.416011375,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,0.551940639
bgd.sol,BGD,sol,2018,25,291,33.1686026,33.21917808,201,0.113579363,0.688285013,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,22.82945196
bgd.hyd,BGD,hyd,2018,93,1086,123.3872017,123.9726027,230,0.444427387,0.828435184,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,102.218299
bgd.ore,BGD,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
bgd.bio,BGD,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,0
bgr.coa,BGR,coa,2018,4893,18659,6491.7589,2130.022831,4495,0.472564338,0.327211274,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,2124.176699
bgr.nga,BGR,nga,2018,617,2017,818.601112,230.2511416,983.265,0.226027862,0.271493994,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,222.2452857
bgr.oil,BGR,oil,2018,71,338,94.19883137,38.58447489,74,0.462446008,0.36328481,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,34.22100459
bgr.nuc,BGR,nuc,2018,4186,16125,5553.750819,1840.753425,1926,0.957135574,0.331927589,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,1843.443116
bgr.wnd,BGR,wnd,2018,113,1318,149.9220837,150.456621,701,0.224449775,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,157.3392923
bgr.sol,BGR,sol,2018,115,1343,152.5755719,153.3105023,1036,0.121597248,0.825654771,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,125.9747489
bgr.hyd,BGR,hyd,2018,443,5147,587.747638,587.5570776,3204,0.192440097,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,616.5780708
bgr.ore,BGR,ore,2018,71,312,94.19883137,35.61643836,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
bgr.bio,BGR,bio,2018,389,1280,516.1034564,146.1187215,179.2625571,1,0.347338416,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,179.2625571
bhr.coa,BHR,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,0
bhr.nga,BHR,nga,2018,8676,29544,11510.83184,3372.60274,6971,0.475411617,0.287910937,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,3314.094382
bhr.oil,BHR,oil,2018,1,2,1.326744104,0.228310502,0.236073059,1,0.177934131,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,0.236073059
bhr.nuc,BHR,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
bhr.wnd,BHR,wnd,2018,0,0,0,0,1,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,0.346428571
bhr.sol,BHR,sol,2018,0,0,0,0,6,0.177419355,1,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,1.06451613
bhr.hyd,BHR,hyd,2018,0,0,0,0,0,0.676666667,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,0
bhr.ore,BHR,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
bhr.bio,BHR,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,0
bih.coa,BIH,coa,2018,3328,12437,4415.404377,1419.748858,2065,0.68786643,0.321701945,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,1420.444178
bih.nga,BIH,nga,2018,6,25,7.960464623,2.853881279,2.557317352,1,0.321252273,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,2.557317352
bih.oil,BIH,oil,2018,11,47,14.59418514,5.365296804,230,0.021097379,0.3324884,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,4.85239717
bih.nuc,BIH,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
bih.wnd,BIH,wnd,2018,9,103,11.94069693,11.75799087,50.6,0.234627394,0.994259061,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,11.87214614
bih.sol,BIH,sol,2018,2,21,2.653488208,2.397260274,18,0.133181126,0.90343732,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,2.397260268
bih.hyd,BIH,hyd,2018,552,6418,732.3627453,732.6484018,2184.6,0.340647296,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,744.1780828
bih.ore,BIH,ore,2018,2,7,2.653488208,0.799086758,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
bih.bio,BIH,bio,2018,5,1,6.633720519,0.114155251,0.913242009,1,0.137666639,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,0.913242009
blr.coa,BLR,coa,2018,32,26,42.45581132,2.96803653,70,0.040769733,0.067220039,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,2.85388131
blr.nga,BLR,nga,2018,10302,37890,13668.11776,4325.342466,7588.3,0.569017262,0.315908435,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,4317.873689
blr.oil,BLR,oil,2018,126,264,167.1697571,30.1369863,1410,0.021373749,0.180277742,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,30.13698609
blr.nuc,BLR,nuc,2018,0,0,0,0,0,0.91,0.33,0,0.077800547,0.0037,0.0037,0.074100547,5590,0.077800547,0
blr.wnd,BLR,wnd,2018,9,99,11.94069693,11.30136986,11.30136986,1,0.946458144,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,11.30136986
blr.sol,BLR,sol,2018,15,177,19.90116156,20.20547945,154,0.087469608,0.676860976,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,13.47031963
blr.hyd,BLR,hyd,2018,28,324,37.14883491,36.98630137,95.1,0.388920099,0.995624801,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,36.98630141
blr.ore,BLR,ore,2018,27,75,35.8220908,8.561643836,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
blr.bio,BLR,bio,2018,149,131,197.6848715,14.9543379,600,0.051831526,0.157315607,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,31.0989156
bol.coa,BOL,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,0
bol.nga,BOL,nga,2018,1547,6794,2052.473129,775.5707763,1786.79,0.440129791,0.383157031,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,786.4195093
bol.oil,BOL,oil,2018,68,94,90.21859906,10.73059361,30,0.806215753,0.268087433,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,24.18647259
bol.nuc,BOL,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
bol.wnd,BOL,wnd,2018,5,59,6.633720519,6.735159817,27,0.356135211,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,9.615650697
