Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,Production.MWy
ben.wnd,BEN,wnd,2018,-0,0,0,0,-0,0.3464285714285714,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,0
ben.sol,BEN,sol,2018,-0,5,3,0.5707762557077626,-0,0.20319634703196346,1,0,0.0770219361256934,0,0,0.0770219361256934,0.6095890410958904
ben.hyd,BEN,hyd,2018,-0,0,1,0,-0,0.16851598173515983,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,0.16851598173515983
ben.ore,BEN,ore,2018,-0,0,0,0,-0,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
ben.bio,BEN,bio,2018,-0,0,3,0,-0,0.7718181818181818,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0
bgd.coa,BGD,coa,2018,393,1500,524,171.23287671232876,521.4104327946502,0.16280893809474015,0.16361752315616335,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,85.31188356164384
bgd.nga,BGD,nga,2018,13282,59437,10877,6785.045662100457,17621.81518671385,0.7221682497482225,0.44575567098409885,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,7855.024052511416
bgd.oil,BGD,oil,2018,1868,16293,6540,1859.9315068493152,2478.3579859043425,0.2036613062572438,0.5374304077529596,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,1331.9449429223744
bgd.nuc,BGD,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
bgd.wnd,BGD,wnd,2018,1,6,3,0.684931506849315,1.326744103803181,0.18398021308980214,0.41601137528121646,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,0.5519406392694064
bgd.sol,BGD,sol,2018,25,291,201,33.21917808219178,33.16860259507953,0.11357936345668915,0.688285012591432,0,0.0770219361256934,0,0,0.0770219361256934,22.82945205479452
bgd.hyd,BGD,hyd,2018,93,1086,230,123.97260273972603,123.38720165369584,0.4444273873337304,0.828435183850336,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,102.218299086758
bgd.ore,BGD,ore,2018,-0,0,0,0,-0,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
bgd.bio,BGD,bio,2018,-0,0,0,0,-0,0.7718181818181818,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0
bgr.coa,BGR,coa,2018,4893,18659,4495,2130.0228310502284,6491.758899908966,0.4725643383566723,0.3272112741191034,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,2124.176700913242
bgr.nga,BGR,nga,2018,617,2017,983.265,230.25114155251143,818.6011120465628,0.22602786165288896,0.2714939939826106,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,222.24528538812785
bgr.oil,BGR,oil,2018,71,338,74,38.58447488584475,94.19883137002587,0.46244600765148713,0.3632848101032726,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,34.22100456621005
bgr.nuc,BGR,nuc,2018,4186,16125,1926,1840.7534246575342,5553.750818520117,0.9571355744747437,0.33192758852107995,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,1843.4431164383564
bgr.wnd,BGR,wnd,2018,113,1318,701,150.45662100456622,149.92208372975946,0.2244497749464236,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,157.33929223744295
