Superscenario,SubscenarioNumber,ModuleCode,QuantityCodeMain,SubsectorCode,FuelCode,CPATCodeNoCountry,CPATCode,Helper Column,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
1,1,mit,ptp,omn,ren,mit.ptp.ren.omn.1,chn.mit.ptp.ren.omn.1,3070,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,mit,ptp,pow,coa,mit.ptp.coa.pow.1,chn.mit.ptp.coa.pow.1,2164,4.296,4.372,2.086,2.191,2.147,2.11,2.075,2.049,2.014,1.992,1.966,1.944,1.921,1.898
1,1,mit,ptp,pow,nga,mit.ptp.nga.pow.1,chn.mit.ptp.nga.pow.1,2165,6.975,5.943,5.141,4.921,4.821,4.776,4.749,4.738,4.73,4.941,4.875,4.802,4.743,4.673
1,1,mit,ptp,pow,gso,mit.ptp.gso.pow.1,chn.mit.ptp.gso.pow.1,2168,1.18,1.036,0.775,0.792,0.789,0.783,0.777,0.773,0.768,0.764,0.76,0.757,0.753,0.75
1,1,mit,ptp,pow,die,mit.ptp.die.pow.1,chn.mit.ptp.die.pow.1,2169,0.976,0.857,0.62,0.638,0.637,0.63,0.624,0.619,0.614,0.61,0.605,0.601,0.598,0.594
1,1,mit,ptp,pow,lpg,mit.ptp.lpg.pow.1,chn.mit.ptp.lpg.pow.1,2170,0.54,0.481,0.395,0.414,0.413,0.406,0.399,0.394,0.388,0.383,0.378,0.374,0.37,0.366
1,1,mit,ptp,pow,ker,mit.ptp.ker.pow.1,chn.mit.ptp.ker.pow.1,2171,0.54,0.481,0.395,0.414,0.413,0.406,0.399,0.394,0.388,0.383,0.379,0.374,0.37,0.366
1,1,mit,ptp,pow,oop,mit.ptp.oop.pow.1,chn.mit.ptp.oop.pow.1,2166,63.732,64.864,30.95,46.186,44.332,44.037,43.743,43.375,42.628,42.951,42.158,41.429,40.701,39.945
1,1,mit,ptp,pow,bio,mit.ptp.bio.pow.1,chn.mit.ptp.bio.pow.1,2167,10.491,10.677,5.095,5.351,5.243,5.153,5.068,5.004,4.919,4.866,4.803,4.747,4.691,4.635
1,1,mit,ptp,pow,ren,mit.ptp.ren.pow.1,chn.mit.ptp.ren.pow.1,2177,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,mit,ptp,ral,coa,mit.ptp.coa.ral.1,chn.mit.ptp.coa.ral.1,2688,4.296,4.372,2.086,2.191,2.147,2.11,2.075,2.049,2.014,1.992,1.966,1.944,1.921,1.898
1,1,mit,ptp,ral,nga,mit.ptp.nga.ral.1,chn.mit.ptp.nga.ral.1,2689,6.975,5.943,5.141,4.921,4.821,4.776,4.749,4.738,4.73,4.941,4.875,4.802,4.743,4.673
1,1,mit,ptp,ral,gso,mit.ptp.gso.ral.1,chn.mit.ptp.gso.ral.1,2690,0.504,0.448,0.378,0.565,0.542,0.538,0.535,0.53,0.521,0.525,0.515,0.506,0.498,0.488
1,1,mit,ptp,ral,die,mit.ptp.die.ral.1,chn.mit.ptp.die.ral.1,2691,0.53,0.477,0.396,0.59,0.567,0.563,0.559,0.555,0.545,0.549,0.539,0.53,0.52,0.511
1,1,mit,ptp,ral,lpg,mit.ptp.lpg.ral.1,chn.mit.ptp.lpg.ral.1,2692,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,ral,ker,mit.ptp.ker.ral.1,chn.mit.ptp.ker.ral.1,2693,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,ral,oop,mit.ptp.oop.ral.1,chn.mit.ptp.oop.ral.1,2694,63.732,64.864,30.95,46.186,44.332,44.037,43.743,43.375,42.628,42.951,42.158,41.429,40.701,39.945
1,1,mit,ptp,ral,bio,mit.ptp.bio.ral.1,chn.mit.ptp.bio.ral.1,2695,10.491,10.677,5.095,5.351,5.243,5.153,5.068,5.004,4.919,4.866,4.803,4.747,4.691,4.635
1,1,mit,ptp,ral,ren,mit.ptp.ren.ral.1,chn.mit.ptp.ren.ral.1,2696,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,mit,ptp,res,coa,mit.ptp.coa.res.1,chn.mit.ptp.coa.res.1,2846,4.296,4.372,2.086,2.191,2.147,2.11,2.075,2.049,2.014,1.992,1.966,1.944,1.921,1.898
1,1,mit,ptp,res,nga,mit.ptp.nga.res.1,chn.mit.ptp.nga.res.1,2847,6.975,5.943,5.141,4.921,4.821,4.776,4.749,4.738,4.73,4.941,4.875,4.802,4.743,4.673
1,1,mit,ptp,res,gso,mit.ptp.gso.res.1,chn.mit.ptp.gso.res.1,2848,0.504,0.448,0.378,0.565,0.542,0.538,0.535,0.53,0.521,0.525,0.515,0.506,0.498,0.488
1,1,mit,ptp,res,die,mit.ptp.die.res.1,chn.mit.ptp.die.res.1,2849,0.53,0.477,0.396,0.59,0.567,0.563,0.559,0.555,0.545,0.549,0.539,0.53,0.52,0.511
1,1,mit,ptp,res,lpg,mit.ptp.lpg.res.1,chn.mit.ptp.lpg.res.1,2850,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,res,ker,mit.ptp.ker.res.1,chn.mit.ptp.ker.res.1,2851,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,res,oop,mit.ptp.oop.res.1,chn.mit.ptp.oop.res.1,2852,63.732,64.864,30.95,46.186,44.332,44.037,43.743,43.375,42.628,42.951,42.158,41.429,40.701,39.945
1,1,mit,ptp,res,bio,mit.ptp.bio.res.1,chn.mit.ptp.bio.res.1,2853,10.491,10.677,5.095,5.351,5.243,5.153,5.068,5.004,4.919,4.866,4.803,4.747,4.691,4.635
1,1,mit,ptp,res,ren,mit.ptp.ren.res.1,chn.mit.ptp.ren.res.1,2854,1,1,1,1,1,1,1,1,1,1,1,1,1,1
